DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-10,1946033,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-11,1679377,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2021-12,1429284,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-01,1172147,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-02,1298846,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-03,1746131,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-04,2343143,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-05,2560118,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BE,2022-06,2571643,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-01,620442,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-02,596149,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-03,293343,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-04,29572,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-05,77346,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-06,157153,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-07,440150,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-08,547295,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-09,406960,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-10,268221,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-11,134357,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-12,167168,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-01,191261,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-02,191261,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-03,132522,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-04,162877,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-05,227275,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-06,411911,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-07,878301,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-08,1074693,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-09,704559,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-10,461440,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-11,320848,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-12,389332,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-01,343476,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-02,342961,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-03,431752,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-04,579310,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-05,697535,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-06,955361,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-07,1311984,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-08,1330091,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-09,995689,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-01,4081886,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-02,3973871,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-03,1793035,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-04,30701,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-05,56493,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-06,277594,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-07,1279181,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-08,1622932,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-09,1044832,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-10,840382,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-11,390083,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-12,650807,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-01,537820,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-02,346778,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-03,407290,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-04,594156,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-05,785776,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-06,1131106,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-07,2586723,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-08,3081678,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-09,2574897,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-10,3025442,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-11,2077713,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-12,2023357,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2022-01,1764371,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2022-02,2203078,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2022-03,2893106,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2022-04,3568219,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2022-05,3629322,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2022-06,3962828,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2022-07,4607546,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2022-08,4578204,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2022-09,4195162,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-01,470382,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-02,457795,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-03,235123,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-04,6132,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-05,9704,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-06,40597,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-07,197481,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-08,295796,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-09,244452,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-10,245685,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-11,63632,
ESTAT:AVIA_PAOC(1.0),05/12/22 23:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CY,2020-12,61044,
